[2024-06-07 22:20:36] [INFO    ] discord.client: logging in using static token
[2024-06-07 22:20:36] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me with None has returned 200
[2024-06-07 22:20:36] [DEBUG   ] discord.http: GET /users/@me has found its initial rate limit bucket hash (78bb8553d9352a5a2f89f9def401287a).
[2024-06-07 22:20:36] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me has received {'id': '719247667192135772', 'username': 'Redbot', 'avatar': None, 'discriminator': '4906', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'banner_color': None, 'clan': None, 'mfa_enabled': False, 'locale': 'en-US', 'premium_type': 0, 'email': None, 'verified': True, 'bio': ''}
[2024-06-07 22:20:36] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me with None has returned 200
[2024-06-07 22:20:36] [DEBUG   ] discord.http: GET /oauth2/applications/@me has found its initial rate limit bucket hash (d28a133af187e91d71d96a223467ce49).
[2024-06-07 22:20:36] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me has received {'id': '719247667192135772', 'name': 'Redbot', 'icon': None, 'description': '', 'type': None, 'bot': {'id': '719247667192135772', 'username': 'Redbot', 'avatar': None, 'discriminator': '4906', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'banner_color': None, 'clan': None}, 'summary': '', 'is_monetized': False, 'bot_public': True, 'bot_require_code_grant': False, 'install_params': {'scopes': ['applications.commands', 'bot'], 'permissions': '277026524160'}, 'integration_types_config': {'0': {'oauth2_install_params': {'scopes': ['applications.commands', 'bot'], 'permissions': '277026524160'}}}, 'verify_key': '70f3ca81ae93d63d83c5f6d0d9c6cd2411e98acbce4f3006519cf51bcdf01b28', 'flags': 8912896, 'hook': True, 'storefront_available': False, 'redirect_uris': [None], 'interactions_endpoint_url': None, 'role_connections_verification_url': None, 'owner': {'id': '306121302979248139', 'username': 'thomasb1', 'avatar': 'd4e876d2c0a0f7a0d262bda43ac1f1e3', 'discriminator': '0', 'public_flags': 256, 'flags': 256, 'banner': None, 'accent_color': 16777215, 'global_name': 'Thomasb1', 'avatar_decoration_data': None, 'banner_color': '#ffffff', 'clan': None}, 'approximate_guild_count': 1, 'interactions_event_types': [], 'interactions_version': 1, 'explicit_content_filter': 0, 'rpc_application_state': 0, 'store_application_state': 1, 'verification_state': 1, 'integration_public': True, 'integration_require_code_grant': False, 'discoverability_state': 1, 'discovery_eligibility_flags': 480, 'monetization_state': 1, 'verification_eligibility_flags': 90524, 'monetization_eligibility_flags': 181988, 'team': None, 'internal_guild_restriction': 2}
[2024-06-07 22:20:37] [DEBUG   ] discord.gateway: Created websocket connected to wss://gateway.discord.gg/
[2024-06-07 22:20:37] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 10, 'd': {'heartbeat_interval': 41250, '_trace': ['["gateway-prd-us-east1-b-bwlg",{"micros":0.0}]']}}
[2024-06-07 22:20:37] [DEBUG   ] discord.gateway: Shard ID None has sent the IDENTIFY payload.
[2024-06-07 22:20:37] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
